Date;Product;Price;Sale_cnt
01.07.2022;Яндекс станция;12900;8104
01.07.2022;Яндекс станция mini;4990;10866
01.07.2022;Яндекс станция max;18990;6772
02.07.2022;Яндекс станция;12900;8737
02.07.2022;Яндекс станция mini;4990;9014
02.07.2022;Яндекс станция max;18990;6453
03.07.2022;Яндекс станция;12900;9928
03.07.2022;Яндекс станция mini;4990;8688
03.07.2022;Яндекс станция max;18990;3141
04.07.2022;Яндекс станция;12900;4286
04.07.2022;Яндекс станция mini;4990;9200
04.07.2022;Яндекс станция max;18990;4459
05.07.2022;Яндекс станция;12900;4324
05.07.2022;Яндекс станция mini;4990;4395
05.07.2022;Яндекс станция max;18990;8332
06.07.2022;Яндекс станция;12900;4269
06.07.2022;Яндекс станция mini;4990;5814
06.07.2022;Яндекс станция max;18990;7556
07.07.2022;Яндекс станция;12900;4261
07.07.2022;Яндекс станция mini;4990;11573
07.07.2022;Яндекс станция max;18990;945
08.07.2022;Яндекс станция;12900;5502
08.07.2022;Яндекс станция mini;4990;5203
08.07.2022;Яндекс станция max;18990;3725
09.07.2022;Яндекс станция;12900;11555
09.07.2022;Яндекс станция mini;4990;7303
09.07.2022;Яндекс станция max;18990;8412
10.07.2022;Яндекс станция;12900;7632
10.07.2022;Яндекс станция mini;4990;8153
10.07.2022;Яндекс станция max;18990;4232
11.07.2022;Яндекс станция;12900;8227
11.07.2022;Яндекс станция mini;4990;7690
11.07.2022;Яндекс станция max;18990;3051
12.07.2022;Яндекс станция;12900;10176
12.07.2022;Яндекс станция mini;4990;10170
12.07.2022;Яндекс станция max;18990;8048
13.07.2022;Яндекс станция;12900;4750
13.07.2022;Яндекс станция mini;4990;4879
13.07.2022;Яндекс станция max;18990;1629
14.07.2022;Яндекс станция;12900;9292
14.07.2022;Яндекс станция mini;4990;5722
14.07.2022;Яндекс станция max;18990;7507
15.07.2022;Яндекс станция;12900;11359
15.07.2022;Яндекс станция mini;4990;9054
15.07.2022;Яндекс станция max;18990;5686
16.07.2022;Яндекс станция;12900;5024
16.07.2022;Яндекс станция mini;4990;7714
16.07.2022;Яндекс станция max;18990;6941
17.07.2022;Яндекс станция;12900;4026
17.07.2022;Яндекс станция mini;4990;11794
17.07.2022;Яндекс станция max;18990;3249
18.07.2022;Яндекс станция;12900;4767
18.07.2022;Яндекс станция mini;4990;10100
18.07.2022;Яндекс станция max;18990;8305
19.07.2022;Яндекс станция;12900;10266
19.07.2022;Яндекс станция mini;4990;5518
19.07.2022;Яндекс станция max;18990;8841
20.07.2022;Яндекс станция;12900;11554
20.07.2022;Яндекс станция mini;4990;11237
20.07.2022;Яндекс станция max;18990;8816
21.07.2022;Яндекс станция;12900;6516
21.07.2022;Яндекс станция mini;4990;6742
21.07.2022;Яндекс станция max;18990;7021
22.07.2022;Яндекс станция;12900;11911
22.07.2022;Яндекс станция mini;4990;10752
22.07.2022;Яндекс станция max;18990;2080
23.07.2022;Яндекс станция;12900;4631
23.07.2022;Яндекс станция mini;4990;7109
23.07.2022;Яндекс станция max;18990;8901
24.07.2022;Яндекс станция;12900;9265
24.07.2022;Яндекс станция mini;4990;10897
24.07.2022;Яндекс станция max;18990;4780
25.07.2022;Яндекс станция;12900;6892
25.07.2022;Яндекс станция mini;4990;9780
25.07.2022;Яндекс станция max;18990;4350
26.07.2022;Яндекс станция;12900;6909
26.07.2022;Яндекс станция mini;4990;6339
26.07.2022;Яндекс станция max;18990;7580
27.07.2022;Яндекс станция;10900;6341
27.07.2022;Яндекс станция mini;3590;10119
27.07.2022;Яндекс станция max;16990;2901
28.07.2022;Яндекс станция;10900;9970
28.07.2022;Яндекс станция mini;3590;5272
28.07.2022;Яндекс станция max;16990;3960
29.07.2022;Яндекс станция;12900;11409
29.07.2022;Яндекс станция mini;4990;8173
29.07.2022;Яндекс станция max;18990;3791
30.07.2022;Яндекс станция;12900;8814
30.07.2022;Яндекс станция mini;4990;6728
30.07.2022;Яндекс станция max;18990;2624
31.07.2022;Яндекс станция;12900;9608
31.07.2022;Яндекс станция mini;4990;4749
31.07.2022;Яндекс станция max;18990;3900
01.08.2022;Яндекс станция;12900;10117
01.08.2022;Яндекс станция mini;4990;6465
01.08.2022;Яндекс станция max;18990;4257
02.08.2022;Яндекс станция;12900;4554
02.08.2022;Яндекс станция mini;4990;6034
02.08.2022;Яндекс станция max;18990;4035
03.08.2022;Яндекс станция;12900;11439
03.08.2022;Яндекс станция mini;4990;8592
03.08.2022;Яндекс станция max;18990;2985
04.08.2022;Яндекс станция;12900;5223
04.08.2022;Яндекс станция mini;4990;5751
04.08.2022;Яндекс станция max;18990;1863
05.08.2022;Яндекс станция;12900;7111
05.08.2022;Яндекс станция mini;4990;6045
05.08.2022;Яндекс станция max;18990;4725
06.08.2022;Яндекс станция;12900;4320
06.08.2022;Яндекс станция mini;4990;11802
06.08.2022;Яндекс станция max;18990;3058
07.08.2022;Яндекс станция;12900;7386
07.08.2022;Яндекс станция mini;4990;10451
07.08.2022;Яндекс станция max;18990;2340
08.08.2022;Яндекс станция;12900;10505
08.08.2022;Яндекс станция mini;4990;11842
08.08.2022;Яндекс станция max;18990;1577
09.08.2022;Яндекс станция;12900;6563
09.08.2022;Яндекс станция mini;4990;6414
09.08.2022;Яндекс станция max;18990;4562
10.08.2022;Яндекс станция;12900;5716
10.08.2022;Яндекс станция mini;4990;10643
10.08.2022;Яндекс станция max;18990;3392
11.08.2022;Яндекс станция;12900;5875
11.08.2022;Яндекс станция mini;4990;9887
11.08.2022;Яндекс станция max;18990;5721
12.08.2022;Яндекс станция;12900;9069
12.08.2022;Яндекс станция mini;4990;10269
12.08.2022;Яндекс станция max;18990;6253
13.08.2022;Яндекс станция;12900;10614
13.08.2022;Яндекс станция mini;4990;9435
13.08.2022;Яндекс станция max;18990;1676
14.08.2022;Яндекс станция;12900;6169
14.08.2022;Яндекс станция mini;4990;7765
14.08.2022;Яндекс станция max;18990;8756
15.08.2022;Яндекс станция;12900;5598
15.08.2022;Яндекс станция mini;4990;11190
15.08.2022;Яндекс станция max;18990;6272
16.08.2022;Яндекс станция;12900;5453
16.08.2022;Яндекс станция mini;4990;7532
16.08.2022;Яндекс станция max;18990;5817
17.08.2022;Яндекс станция;12900;10823
17.08.2022;Яндекс станция mini;4990;11751
17.08.2022;Яндекс станция max;18990;4759
18.08.2022;Яндекс станция;12900;10769
18.08.2022;Яндекс станция mini;4990;4623
18.08.2022;Яндекс станция max;18990;6916
19.08.2022;Яндекс станция;12900;11402
19.08.2022;Яндекс станция mini;4990;9248
19.08.2022;Яндекс станция max;18990;6156
20.08.2022;Яндекс станция;12900;11409
20.08.2022;Яндекс станция mini;4990;9403
20.08.2022;Яндекс станция max;18990;5260
21.08.2022;Яндекс станция;12900;6774
21.08.2022;Яндекс станция mini;4990;5678
21.08.2022;Яндекс станция max;18990;6151
22.08.2022;Яндекс станция;12900;7129
22.08.2022;Яндекс станция mini;4990;8793
22.08.2022;Яндекс станция max;18990;7644
23.08.2022;Яндекс станция;12900;8325
23.08.2022;Яндекс станция mini;4990;11057
23.08.2022;Яндекс станция max;18990;1542
24.08.2022;Яндекс станция;12900;8540
24.08.2022;Яндекс станция mini;4990;11025
24.08.2022;Яндекс станция max;18990;5995
25.08.2022;Яндекс станция;12900;10303
25.08.2022;Яндекс станция mini;4990;7333
25.08.2022;Яндекс станция max;18990;6691
26.08.2022;Яндекс станция;12900;5271
26.08.2022;Яндекс станция mini;4990;8301
26.08.2022;Яндекс станция max;18990;8199
27.08.2022;Яндекс станция;12900;6947
27.08.2022;Яндекс станция mini;4990;7601
27.08.2022;Яндекс станция max;18990;5481
28.08.2022;Яндекс станция;12900;9914
28.08.2022;Яндекс станция mini;4990;11584
28.08.2022;Яндекс станция max;18990;6970
29.08.2022;Яндекс станция;12900;9132
29.08.2022;Яндекс станция mini;4990;11665
29.08.2022;Яндекс станция max;18990;5624
30.08.2022;Яндекс станция;12900;5515
30.08.2022;Яндекс станция mini;4990;7686
30.08.2022;Яндекс станция max;18990;2579
31.08.2022;Яндекс станция;10900;6016
31.08.2022;Яндекс станция mini;3590;4665
31.08.2022;Яндекс станция max;16990;4148
